x,y,z, ,vx,vy,vz
0.110788,1.40591,0.092958, ,0.00895179,0.1,0.112335
0.110907,1.40761,0.0948703, ,0.00704209,0.1,0.112488
0.110995,1.40931,0.0967846, ,0.0051298,0.1,0.112607
0.111049,1.41101,0.0987004, ,0.00321548,0.1,0.112695
0.111071,1.41271,0.100617, ,0.00129967,0.1,0.112749
0.111061,1.41441,0.102534, ,-0.000617064,0.1,0.112771
0.111018,1.41611,0.104451, ,-0.00253418,0.1,0.112761
0.110942,1.41781,0.106367, ,-0.00445111,0.1,0.112718
0.110834,1.41951,0.108282, ,-0.00636731,0.1,0.112642
0.110693,1.42121,0.110195, ,-0.00828223,0.1,0.112534
0.11052,1.42291,0.112106, ,-0.0101953,0.1,0.112393
0.110314,1.42461,0.114014, ,-0.012106,0.1,0.11222
0.110076,1.42631,0.115918, ,-0.0140137,0.1,0.112014
0.109805,1.42801,0.117818, ,-0.015918,0.1,0.111776
0.109502,1.42971,0.119714, ,-0.0178181,0.1,0.111505
0.109167,1.43141,0.121604, ,-0.0197137,0.1,0.111202
0.1088,1.43311,0.123489, ,-0.0216042,0.1,0.110867
0.1084,1.43481,0.125367, ,-0.0234889,0.1,0.1105
0.107969,1.43651,0.127239, ,-0.0253674,0.1,0.1101
0.107506,1.43821,0.129104, ,-0.0272391,0.1,0.109669
0.107011,1.43991,0.13096, ,-0.0291035,0.1,0.109206
0.106485,1.44161,0.132808, ,-0.03096,0.1,0.108711
0.105927,1.44331,0.134647, ,-0.0328081,0.1,0.108185
0.105338,1.44501,0.136477, ,-0.0346472,0.1,0.107627
0.104718,1.44671,0.138297, ,-0.0364769,0.1,0.107038
0.104067,1.44841,0.140106, ,-0.0382965,0.1,0.106418
0.103385,1.45011,0.141904, ,-0.0401056,0.1,0.105767
0.102673,1.45181,0.14369, ,-0.0419037,0.1,0.105085
0.10193,1.45351,0.145465, ,-0.0436901,0.1,0.104373
0.101157,1.45521,0.147226, ,-0.0454645,0.1,0.10363
0.100355,1.45691,0.148975, ,-0.0472262,0.1,0.102857
0.0995219,1.45861,0.15071, ,-0.0489748,0.1,0.102055
0.0986599,1.46031,0.152431, ,-0.0507097,0.1,0.101222
0.0977686,1.46201,0.154137, ,-0.0524305,0.1,0.10036
0.0968482,1.46371,0.155828, ,-0.0541366,0.1,0.0994686
0.0958992,1.46541,0.157503, ,-0.0558276,0.1,0.0985482
0.0949216,1.46711,0.159162, ,-0.0575029,0.1,0.0975992
0.0939159,1.46881,0.160805, ,-0.0591621,0.1,0.0966216
0.0928822,1.47051,0.16243, ,-0.0608046,0.1,0.0956159
0.0918209,1.47221,0.164038, ,-0.0624301,0.1,0.0945822
0.0907322,1.47391,0.165628, ,-0.064038,0.1,0.0935209
0.0896165,1.47561,0.167199, ,-0.0656279,0.1,0.0924322
0.0884742,1.47731,0.168752, ,-0.0671992,0.1,0.0913165
0.0873054,1.47901,0.170285, ,-0.0687516,0.1,0.0901742
0.0861105,1.48071,0.171798, ,-0.0702845,0.1,0.0890054
0.08489,1.48241,0.173291, ,-0.0717976,0.1,0.0878105
0.083644,1.48411,0.174763, ,-0.0732904,0.1,0.08659
0.0823731,1.48581,0.176213, ,-0.0747624,0.1,0.085344
0.0810774,1.48751,0.177643, ,-0.0762133,0.1,0.0840731
0.0797575,1.48921,0.17905, ,-0.0776425,0.1,0.0827774
0.0784137,1.49091,0.180435, ,-0.0790498,0.1,0.0814575
0.0770463,1.49261,0.181797, ,-0.0804345,0.1,0.0801137
0.0756558,1.49431,0.183135, ,-0.0817965,0.1,0.0787463
0.0742425,1.49601,0.18445, ,-0.0831352,0.1,0.0773557
0.0728068,1.49771,0.185741, ,-0.0844502,0.1,0.0759424
0.0713492,1.49941,0.187008, ,-0.0857412,0.1,0.0745068
