x,y,z, ,vx,vy,vz
15.604,3.59756,0, ,10,-5.30751,0
15.687,3.55283,0, ,10,-5.38893,0
15.77,3.50743,0, ,10,-5.47036,0
15.853,3.46135,0, ,10,-5.55178,0
15.936,3.41459,0, ,10,-5.6332,0
16.019,3.36716,0, ,10,-5.71462,0
16.102,3.31905,0, ,10,-5.79605,0
16.185,3.27027,0, ,10,-5.87747,0
16.268,3.22081,0, ,10,-5.95889,0
16.351,3.17068,0, ,10,-6.04031,0
16.434,3.11987,0, ,10,-6.12174,0
16.517,3.06838,0, ,10,-6.20316,0
16.6,3.01622,0, ,10,-6.28458,0
16.683,2.96338,0, ,10,-6.36601,0
16.766,2.90987,0, ,10,-6.44743,0
16.849,2.85568,0, ,10,-6.52885,0
16.932,2.80081,0, ,10,-6.61027,0
17.015,2.74527,0, ,10,-6.6917,0
17.098,2.68905,0, ,10,-6.77312,0
17.181,2.63216,0, ,10,-6.85454,0
17.264,2.57459,0, ,10,-6.93597,0
17.347,2.51635,0, ,10,-7.01739,0
17.43,2.45743,0, ,10,-7.09881,0
17.513,2.39783,0, ,10,-7.18023,0
17.596,2.33756,0, ,10,-7.26166,0
17.679,2.27661,0, ,10,-7.34308,0
17.762,2.21499,0, ,10,-7.4245,0
17.845,2.15269,0, ,10,-7.50593,0
17.928,2.08972,0, ,10,-7.58735,0
18.011,2.02607,0, ,10,-7.66877,0
18.094,1.96174,0, ,10,-7.75019,0
18.177,1.89674,0, ,10,-7.83162,0
18.26,1.83106,0, ,10,-7.91304,0
18.343,1.7647,0, ,10,-7.99446,0
18.426,1.69767,0, ,10,-8.07588,0
18.509,1.62997,0, ,10,-8.15731,0
18.592,1.56159,0, ,10,-8.23873,0
18.675,1.49253,0, ,10,-8.32015,0
18.758,1.4228,0, ,10,-8.40158,0
18.841,1.35239,0, ,10,-8.483,0
18.924,1.2813,0, ,10,-8.56442,0
19.007,1.20954,0, ,10,-8.64584,0
19.09,1.13711,0, ,10,-8.72727,0
19.173,1.06399,0, ,10,-8.80869,0
19.256,0.990206,0, ,10,-8.89011,0
19.339,0.915742,0, ,10,-8.97154,0
19.422,0.840603,0, ,10,-9.05296,0
19.505,0.764787,0, ,10,-9.13438,0
19.588,0.688296,0, ,10,-9.2158,0
19.671,0.611129,0, ,10,-9.29723,0
19.754,0.533286,0, ,10,-9.37865,0
19.837,0.454768,0, ,10,-9.46007,0
19.92,0.375573,0, ,10,-9.5415,0
20.003,0.295703,0, ,10,-9.62292,0
20.086,0.215157,0, ,10,-9.70434,0
20.169,0.133935,0, ,10,-9.78576,0
20.252,0.0520376,0, ,10,-9.86719,0
